Ingredient` g/ml 
allspice, ground` 0.42 
almonds, ground` 0.36 
almonds, sliced` 0.39 
almonds, whole` 0.66 
anchovies` 1.02 
anise seed, whole` 0.45 
apples, dried` 0.38 
apples, sliced` 0.76 
apricots, dried` 0.64 
arrowroot` 0.95 
arrowroot flour` 0.54 
bacon fat` 0.76 
baking powder` 0.76 
baking soda` 0.87 
bamboo shoots` 1.14 
bananas, mashed` 0.97 
bananas, sliced` 0.76 
barley flour` 0.63 
barley, uncooked` 0.78 
basil, dried` 0.11 
basil, dried leaves` 0.14 
bay leaf, crumbled` 0.12 
beans, dried` 0.85 
beef, cooked` 0.97 
beef, raw` 0.93 
biscuit mix (Bisquick)` 0.55 
blackberries, raw` 0.61 
blue corn meal` 0.51 
blueberries, raw` 0.63 
bran, unsifted` 0.23 
brazil nuts, whole` 0.64 
bread crumbs, fresh` 0.25 
bread crumbs, packaged` 0.51 
buckwheat groats` 0.72 
bulgur, dry` 0.59 
butter` 0.97 
butter, stick` 0.97 
buttermilk` 1.04 
cabbage, shredded` 1.44 
cake crumbs, fresh` 0.38 
candied lemon peel` 0.57 
candied orange peel` 0.53 
caraway seed, whole` 0.45 
cardamom, ground` 0.39 
carob flour` 0.44 
carrots, raw, chopped` 0.54 
carrots, raw, grated` 0.46 
cashews, oil roasted` 0.47 
cauliflower fleurets` 0.97 
cayenne, powder` 0.35 
celery seed` 0.43 
cereal, Rice Krispies` 0.09 
cheese, cheddar, grated` 0.51 
cheese, colby, grated` 0.47 
cheese, cottage` 0.97 
cheese, cream` 1.02 
cheese, grated parmesan` 0.59 
cheese, jack, grated` 0.55 
chervil, dried` 0.13 
chili powder` 0.53 
chives, chopped dried` 0.03 
chives, chopped fresh` 0.21 
chocolate chips` 0.76 
chocolate, cocoa powder` 0.43 
chocolate, grated` 0.42 
chocolate, melted` 1.02 
cinnamon, ground` 0.52 
cloves, ground` 0.41 
cloves, whole` 0.38 
cocoa powder` 0.43 
coconut, shredded` 0.32 
coffee, ground` 0.38 
coffee, instant` 0.23 
coriander seed` 0.33 
corn, sweet yellow, raw` 0.61 
cornmeal` 0.72 
cornstarch (cornflour)` 0.59 
cracker crumbs` 0.25 
cranberries, raw, chopped` 0.46 
cranberries, raw, whole` 0.42 
cream` 1.01 
cream of tartar` 0.64 
cream of wheat` 0.76 
crisco, melted` 0.89 
crisco, solid` 0.93 
cumin seed, whole` 0.40 
currants` 0.64 
curry powder` 0.43 
dates, chopped` 0.64 
dill seed` 0.44 
egg` 0.97 
egg noodles` 0.38 
egg white` 0.93 
egg yolk` 1.14 
egg, beaten` 0.97 
elderberries, raw` 0.61 
evaporated milk` 0.93 
farina` 0.76 
fat, duck` 0.87 
fennel seed, whole` 0.39 
fenugreek seed` 0.74 
figs, dried` 0.66 
flour` 0.60 
flour, plain wheat` 0.60 
flour, plain wheat - scooped` 0.65 
flour, plain wheat - spooned` 0.55 
flour, potato` 0.72 
flour, rice` 0.64 
flour, semolina` 0.74 
flour, whole wheat` 0.55 
fungus, wood ear` 0.42 
garlic powder` 0.68 
garlic, minced` 0.64 
gelatin` 0.93 
ginger root, raw` 0.40 
ginger root, raw, slices` 0.41 
ginger, crystal` 1.02 
ginger, fresh` 0.97 
ginger, ground` 0.43 
gooseberries, raw` 0.63 
graham cracker crumbs` 0.38 
grape nuts` 0.51 
gumdrops` 0.68 
gummi bears` 0.64 
hazelnuts, whole` 0.72 
honey` 1.44 
kasha` 0.72 
ketchup` 1.16 
lard` 0.93 
lemon juice` 1.03 
lemon rind, grated` 0.64 
